scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
trigger_b_deadlock,low_stress,1,9631,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,2,9632,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,3,9633,ring_mesh,108,52,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,4,9634,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,5,9635,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,6,9636,ring_mesh,106,54,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,7,9637,ring_mesh,106,54,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,8,9638,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,9,9639,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,0,9640,ring_mesh,119,41,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,1,9641,ring_mesh,119,41,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,2,9642,ring_mesh,119,41,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,3,9643,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,4,9644,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,5,9645,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,6,9646,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,7,9647,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,8,9648,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,mid_stress,9,9649,ring_mesh,118,42,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,high_stress,0,9650,ring_mesh,137,23,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,high_stress,1,9651,ring_mesh,138,22,C04_S_THRESHOLD,,0.3
